Section,=,Rectangular CFST,,,No of tests =,,1003,,,,,,,,,,
Load type ,=,"Axial compression, no moment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,δo (mm),N Test (kN),Notes
Bradford (SRC_NM),Zhang,1984,[125],1,199.00,199.00,1.80,796.00,192.40,,200.00,27.70,,Cyl,,1403.00,
Bradford (SRC_NM),Zhang,1984,[125],2,197.00,197.00,1.55,797.00,192.40,,200.00,27.70,,Cyl,,1413.00,
Bradford (SRC_NM),Zhang,1984,[125],3,199.00,199.00,1.50,798.00,192.40,,200.00,27.70,,Cyl,,1362.00,
Bradford (SRC_NM),Zhang,1984,[125],4,199.00,199.00,1.63,798.00,192.40,,200.00,25.40,,Cyl,,1163.00,
Bradford (SRC_NM),Zhang,1984,[125],5,198.00,198.00,1.66,794.00,192.40,,200.00,25.60,,Cyl,,1310.00,
Bradford (SRC_NM),Zhang,1984,[125],6,199.00,199.00,1.68,796.00,192.40,,200.00,25.60,,Cyl,,1110.00,
Bradford (SRC_NM),Zhang,1984,[125],7,199.00,199.00,1.91,792.00,246.70,,200.00,27.60,,Cyl,,1360.00,
Bradford (SRC_NM),Zhang,1984,[125],8,199.00,199.00,1.86,797.00,246.70,,200.00,27.60,,Cyl,,1417.00,
Bradford (SRC_NM),Zhang,1984,[125],9,199.00,199.00,1.62,798.00,246.70,,200.00,27.60,,Cyl,,1360.00,
Bradford (SRC_NM),Zhang,1984,[125],10,198.00,198.00,1.72,797.00,246.70,,200.00,25.70,,Cyl,,1210.00,
Bradford (SRC_NM),Zhang,1984,[125],11,199.00,199.00,1.69,797.00,246.70,,200.00,25.70,,Cyl,,1160.00,
Bradford (SRC_NM),Zhang,1984,[125],12,199.00,199.00,1.66,796.00,246.70,,200.00,25.80,,Cyl,,1065.00,
Bradford (SRC_NM),Zhang,1984,[125],13,150.00,150.00,1.52,595.00,246.70,,200.00,37.10,,Cyl,,905.00,
Bradford (SRC_NM),Zhang,1984,[125],14,149.00,149.00,1.47,596.00,246.70,,200.00,37.40,,Cyl,,1000.00,
Bradford (SRC_NM),Zhang,1984,[125],15,150.00,150.00,1.60,598.00,246.70,,200.00,37.40,,Cyl,,950.00,
Bradford (SRC_NM),Zhang,1984,[125],16,148.00,148.00,1.57,598.00,246.70,,200.00,25.80,,Cyl,,660.00,
Bradford (SRC_NM),Zhang,1984,[125],17,149.00,149.00,1.64,595.00,246.70,,200.00,25.90,,Cyl,,710.00,
Bradford (SRC_NM),Zhang,1984,[125],18,200.00,200.00,2.93,793.00,256.40,,200.00,27.60,,Cyl,,1764.00,
Bradford (SRC_NM),Zhang,1984,[125],19,201.00,201.00,2.92,796.00,256.40,,200.00,27.60,,Cyl,,1760.00,
Bradford (SRC_NM),Zhang,1984,[125],20,198.00,198.00,2.92,797.00,256.40,,200.00,27.60,,Cyl,,1760.00,
Bradford (SRC_NM),Zhang,1984,[125],21,199.00,199.00,2.91,793.00,256.40,,200.00,25.80,,Cyl,,1546.00,
Bradford (SRC_NM),Zhang,1984,[125],22,200.00,200.00,2.93,792.00,256.40,,200.00,25.90,,Cyl,,1560.00,
Bradford (SRC_NM),Zhang,1984,[125],23,200.00,200.00,3.93,794.00,256.40,,200.00,25.90,,Cyl,,1509.00,
Bradford (SRC_NM),Zhang,1984,[125],24,199.00,199.00,3.99,796.00,279.00,,200.00,36.20,,Cyl,,2100.00,
Bradford (SRC_NM),Zhang,1984,[125],25,200.00,200.00,3.96,796.00,279.00,,200.00,36.40,,Cyl,,2100.00,
Bradford (SRC_NM),Zhang,1984,[125],26,200.00,200.00,4.93,796.00,294.00,,200.00,36.00,,Cyl,,2439.00,
Bradford (SRC_NM),Zhang,1984,[125],27,200.00,200.00,4.92,796.00,294.00,,200.00,36.00,,Cyl,,2465.00,
Bradford (SRC_NM),Zhang,1984,[125],28,149.00,149.00,3.91,598.00,279.00,,200.00,37.00,,Cyl,,1300.00,
Bradford (SRC_NM),Zhang,1984,[125],29,149.00,149.00,3.96,598.00,279.00,,200.00,37.00,,Cyl,,1340.00,
Bradford (SRC_NM),Zhang,1984,[125],30,149.00,149.00,3.94,597.00,279.00,,200.00,37.00,,Cyl,,1350.00,
Bradford (SRC_NM),Zhang,1984,[125],31,198.00,198.00,5.66,796.00,234.70,,200.00,35.90,,Cyl,,2330.00,
Bradford (SRC_NM),Zhang,1984,[125],32,198.00,198.00,5.96,797.00,234.70,,200.00,36.00,,Cyl,,2800.00,
Bradford (SRC_NM),Zhang,1984,[125],33,198.00,198.00,5.69,796.00,234.70,,200.00,36.50,,Cyl,,2190.00,
Bradford (SRC_NM),Zhang,1984,[125],34,150.00,150.00,4.93,595.00,294.90,,200.00,36.90,,Cyl,,1645.00,
Bradford (SRC_NM),Zhang,1984,[125],35,150.00,150.00,4.95,594.00,294.90,,200.00,36.90,,Cyl,,1630.00,
Bradford (SRC_NM),Zhang,1984,[125],36,150.00,150.00,4.96,595.00,294.90,,200.00,36.90,,Cyl,,1650.00,
Bradford (SRC_NM),Zhang,1984,[125],37,199.00,199.00,7.83,797.00,238.30,,200.00,35.70,,Cyl,,2700.00,
Bradford (SRC_NM),Zhang,1984,[125],38,200.00,200.00,7.80,796.00,238.30,,200.00,35.70,,Cyl,,2590.00,
Bradford (SRC_NM),Zhang,1984,[125],39,99.00,99.00,4.90,398.00,294.90,,200.00,37.10,,Cyl,,960.00,
Bradford (SRC_NM),Zhang,1984,[125],40,99.00,99.00,4.92,397.00,294.90,,200.00,37.40,,Cyl,,980.00,
Bradford (SRC_NM),Zhang,1984,[125],41,99.00,99.00,4.86,399.00,294.90,,200.00,37.90,,Cyl,,900.00,
Bradford (SRC_NM),Zhang,1984,[125],42,149.00,149.00,7.67,596.00,238.30,,200.00,36.60,,Cyl,,1845.00,
Bradford (SRC_NM),Zhang,1984,[125],43,149.00,149.00,7.67,596.00,238.30,,200.00,36.60,,Cyl,,1850.00,
Bradford (SRC_NM),Zhang,1984,[125],44,149.00,149.00,7.58,598.00,238.30,,200.00,36.60,,Cyl,,1750.00,
Bradford (SRC_NM),Zhang,1984,[125],45,98.00,98.00,5.74,399.00,234.70,,200.00,37.90,,Cyl,,950.00,
