Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm),fy (MPa),fc (MPa),L (mm),Pno ANN (kN)
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,4500,207.60306
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,2750,127.50412
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,2500,129.1888
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,4500,136.18874
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,4250,120.66226
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,4000,111.284515
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,3750,111.50219
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,3500,115.65488
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,3250,119.69878
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,3000,127.14594
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,3000,108.03883
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,2500,108.08748
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,4500,116.60932
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,4250,106.88782
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,4000,106.931335
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,3750,110.09992
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,3500,112.42568
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,3250,88.44211
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,3000,83.70924
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,45,2750,104.94429
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,3250,121.61903
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,3500,116.34551
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,3750,115.66658
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,4000,162.47058
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,3750,145.66719
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,3500,133.17403
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,3250,126.41595
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,3000,128.70325
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,2750,136.74121
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,2500,145.99883
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,4500,181.78294
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,4250,160.04662
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,4000,142.05971
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,3750,128.40239
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,3500,120.569565
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,3250,121.94776
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,3000,128.50073
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,2750,135.6792
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,65,2500,142.2992
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,4500,158.10564
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,4250,139.05927
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,55,4000,124.384964
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,2750,82.22053
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,75,4250,183.04004
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,420,35,2500,83.12673
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,4250,135.25934
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,2750,80.60383
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,2500,82.34739
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,4500,298.52988
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,4250,250.62656
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,4000,187.1785
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,3750,136.299
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,3500,102.01715
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,3250,88.81703
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,3000,84.31489
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,3000,82.6982
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,2500,87.65915
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,35,4500,329.0803
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,35,4250,281.19998
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,35,4000,192.19208
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,35,3750,136.9844
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,35,3500,101.94951
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,35,3250,90.687706
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,35,3000,87.581184
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,45,2750,82.65373
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,3250,93.977295
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,3500,112.0738
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,3750,148.24953
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,4000,164.70938
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,3750,168.19637
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,3500,147.08682
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,3250,119.185074
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,3000,102.658844
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,2750,91.71743
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,75,2500,85.603355
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,4500,153.49002
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,4250,188.32918
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,4000,190.157
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,3750,163.80708
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,3500,129.32564
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,3250,104.26751
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,3000,91.40067
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,2750,83.80643
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,65,2500,81.670204
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,4500,228.36884
R_HSS,HSS50.8X50.8X3.2,4.53,542.0,50.8,50.8,3.18,2.95,240,55,4250,228.07867
