Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm)
R_HSS,HSS24X12X3/4,171.16,47.1,24.0,12.0,0.750,0.698
R_HSS,HSS24X12X5/8,144.39,39.6,24.0,12.0,0.625,0.581
R_HSS,HSS24X12X1/2,116.91,32.1,24.0,12.0,0.500,0.465
R_HSS,HSS22X22X7/8,244.88,67.3,22.0,22.0,0.875,0.814
R_HSS,HSS22X22X3/4,212.00,58.2,22.0,22.0,0.750,0.698
R_HSS,HSS20X20X7/8,221.06,60.8,20.0,20.0,0.875,0.814
R_HSS,HSS20X20X3/4,191.58,52.6,20.0,20.0,0.750,0.698
R_HSS,HSS20X20X5/8,161.40,44.3,20.0,20.0,0.625,0.581
R_HSS,HSS20X20X1/2,130.52,35.8,20.0,20.0,0.500,0.465
R_HSS,HSS20X12X3/4,150.75,41.5,20.0,12.0,0.750,0.698
R_HSS,HSS20X12X5/8,127.37,35.0,20.0,12.0,0.625,0.581
R_HSS,HSS20X12X1/2,103.30,28.3,20.0,12.0,0.500,0.465
R_HSS,HSS20X12X3/8,78.52,21.5,20.0,12.0,0.375,0.349
R_HSS,HSS20X12X5/16,65.87,18.1,20.0,12.0,0.3125,0.291
R_HSS,HSS20X8X5/8,110.36,30.3,20.0,8.00,0.625,0.581
R_HSS,HSS20X8X1/2,89.68,24.6,20.0,8.00,0.500,0.465
R_HSS,HSS20X8X3/8,68.31,18.7,20.0,8.00,0.375,0.349
R_HSS,HSS20X8X5/16,57.36,15.7,20.0,8.00,0.3125,0.291
R_HSS,HSS20X4X1/2,76.07,20.9,20.0,4.00,0.500,0.465
R_HSS,HSS20X4X3/8,58.10,16.0,20.0,4.00,0.375,0.349
R_HSS,HSS20X4X5/16,48.86,13.4,20.0,4.00,0.3125,0.291
R_HSS,HSS20X4X1/4,39.43,10.8,20.0,4.00,0.250,0.233
R_HSS,HSS18X18X7/8,197.24,54.3,18.0,18.0,0.875,0.814
R_HSS,HSS18X18X3/4,171.16,47.1,18.0,18.0,0.750,0.698
R_HSS,HSS18X18X5/8,144.39,39.6,18.0,18.0,0.625,0.581
R_HSS,HSS18X18X1/2,116.91,32.1,18.0,18.0,0.500,0.465
R_HSS,HSS18X6X5/8,93.34,25.7,18.0,6.00,0.625,0.581
R_HSS,HSS18X6X1/2,76.07,20.9,18.0,6.00,0.500,0.465
R_HSS,HSS18X6X3/8,58.10,16.0,18.0,6.00,0.375,0.349
R_HSS,HSS18X6X5/16,48.86,13.4,18.0,6.00,0.3125,0.291
R_HSS,HSS18X6X1/4,39.43,10.8,18.0,6.00,0.250,0.233
R_HSS,HSS16X16X7/8,173.43,47.7,16.0,16.0,0.875,0.814
R_HSS,HSS16X16X3/4,150.75,41.5,16.0,16.0,0.750,0.698
R_HSS,HSS16X16X5/8,127.37,35.0,16.0,16.0,0.625,0.581
R_HSS,HSS16X16X1/2,103.30,28.3,16.0,16.0,0.500,0.465
R_HSS,HSS16X16X3/8,78.52,21.5,16.0,16.0,0.375,0.349
R_HSS,HSS16X16X5/16,65.87,18.1,16.0,16.0,0.3125,0.291
R_HSS,HSS16X12X3/4,130.33,35.9,16.0,12.0,0.750,0.698
R_HSS,HSS16X12X5/8,110.36,30.3,16.0,12.0,0.625,0.581
R_HSS,HSS16X12X1/2,89.68,24.6,16.0,12.0,0.500,0.465
R_HSS,HSS16X12X3/8,68.31,18.7,16.0,12.0,0.375,0.349
R_HSS,HSS16X12X5/16,57.36,15.7,16.0,12.0,0.3125,0.291
R_HSS,HSS16X8X5/8,93.34,25.7,16.0,8.00,0.625,0.581
R_HSS,HSS16X8X1/2,76.07,20.9,16.0,8.00,0.500,0.465
R_HSS,HSS16X8X3/8,58.10,16.0,16.0,8.00,0.375,0.349
R_HSS,HSS16X8X5/16,48.86,13.4,16.0,8.00,0.3125,0.291
R_HSS,HSS16X8X1/4,39.43,10.8,16.0,8.00,0.250,0.233
R_HSS,HSS16X4X5/8,76.33,21.0,16.0,4.00,0.625,0.581
R_HSS,HSS16X4X1/2,62.46,17.2,16.0,4.00,0.500,0.465
R_HSS,HSS16X4X3/8,47.90,13.2,16.0,4.00,0.375,0.349
R_HSS,HSS16X4X5/16,40.35,11.1,16.0,4.00,0.3125,0.291
R_HSS,HSS16X4X1/4,32.63,8.96,16.0,4.00,0.250,0.233
R_HSS,HSS16X4X3/16,24.73,6.76,16.0,4.00,0.1875,0.174
R_HSS,HSS14X14X7/8,149.61,41.2,14.0,14.0,0.875,0.814
R_HSS,HSS14X14X3/4,130.33,35.9,14.0,14.0,0.750,0.698
R_HSS,HSS14X14X5/8,110.36,30.3,14.0,14.0,0.625,0.581
R_HSS,HSS14X14X1/2,89.68,24.6,14.0,14.0,0.500,0.465
R_HSS,HSS14X14X3/8,68.31,18.7,14.0,14.0,0.375,0.349
R_HSS,HSS14X14X5/16,57.36,15.7,14.0,14.0,0.3125,0.291
R_HSS,HSS14X10X5/8,93.34,25.7,14.0,10.0,0.625,0.581
R_HSS,HSS14X10X1/2,76.07,20.9,14.0,10.0,0.500,0.465
R_HSS,HSS14X10X3/8,58.10,16.0,14.0,10.0,0.375,0.349
R_HSS,HSS14X10X5/16,48.86,13.4,14.0,10.0,0.3125,0.291
R_HSS,HSS14X10X1/4,39.43,10.8,14.0,10.0,0.250,0.233
R_HSS,HSS14X6X5/8,76.33,21.0,14.0,6.00,0.625,0.581
R_HSS,HSS14X6X1/2,62.46,17.2,14.0,6.00,0.500,0.465
R_HSS,HSS14X6X3/8,47.90,13.2,14.0,6.00,0.375,0.349
R_HSS,HSS14X6X5/16,40.35,11.1,14.0,6.00,0.3125,0.291
R_HSS,HSS14X6X1/4,32.63,8.96,14.0,6.00,0.250,0.233
R_HSS,HSS14X6X3/16,24.73,6.76,14.0,6.00,0.1875,0.174
R_HSS,HSS14X4X5/8,67.82,18.7,14.0,4.00,0.625,0.581
R_HSS,HSS14X4X1/2,55.66,15.3,14.0,4.00,0.500,0.465
R_HSS,HSS14X4X3/8,42.79,11.8,14.0,4.00,0.375,0.349
R_HSS,HSS14X4X5/16,36.10,9.92,14.0,4.00,0.3125,0.291
R_HSS,HSS14X4X1/4,29.23,8.03,14.0,4.00,0.250,0.233
R_HSS,HSS14X4X3/16,22.18,6.06,14.0,4.00,0.1875,0.174
R_HSS,HSS12X12X3/4,109.91,30.3,12.0,12.0,0.750,0.698
R_HSS,HSS12X12X5/8,93.34,25.7,12.0,12.0,0.625,0.581
R_HSS,HSS12X12X1/2,76.07,20.9,12.0,12.0,0.500,0.465
R_HSS,HSS12X12X3/8,58.10,16.0,12.0,12.0,0.375,0.349
R_HSS,HSS12X12X5/16,48.86,13.4,12.0,12.0,0.3125,0.291
R_HSS,HSS12X12X1/4,39.43,10.8,12.0,12.0,0.250,0.233
R_HSS,HSS12X12X3/16,29.84,8.15,12.0,12.0,0.1875,0.174
R_HSS,HSS12X10X1/2,69.27,19.0,12.0,10.0,0.500,0.465
R_HSS,HSS12X10X3/8,53.00,14.6,12.0,10.0,0.375,0.349
R_HSS,HSS12X10X5/16,44.60,12.2,12.0,10.0,0.3125,0.291
R_HSS,HSS12X10X1/4,36.03,9.90,12.0,10.0,0.250,0.233
R_HSS,HSS12X8X5/8,76.33,21.0,12.0,8.00,0.625,0.581
R_HSS,HSS12X8X1/2,62.46,17.2,12.0,8.00,0.500,0.465
