Section,=,Rectangular CFST,,,,,No of test,=,401,,,,,,,,,,,
Load type ,=,Axial compression with eccentrically indunced moments,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,et (mm),eb (mm),Bending Axis,δo (mm),N Test (kN),Notes
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],1,149.00,149.00,4.38,447.00,262.00,,206.00,41.10,,Cyl,45.00,45.00,y-y,45.00,755.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],2,149.00,149.00,4.38,447.00,262.00,,206.00,41.10,,Cyl,200.00,200.00,y-y,200.00,259.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],3,216.00,216.00,4.38,648.00,262.00,,206.00,25.40,,Cyl,60.00,60.00,y-y,60.00,1141.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],4,216.00,216.00,4.38,648.00,262.00,,206.00,25.40,,Cyl,200.00,200.00,y-y,200.00,503.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],5,216.00,216.00,4.38,648.00,262.00,,206.00,41.10,,Cyl,60.00,60.00,y-y,60.00,1369.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],6,216.00,216.00,4.38,648.00,262.00,,206.00,41.10,,Cyl,100.00,100.00,y-y,100.00,1028.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],7,215.00,215.00,4.38,645.00,262.00,,206.00,41.10,,Cyl,200.00,200.00,y-y,200.00,580.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],8,216.00,216.00,4.38,648.00,262.00,,206.00,80.30,,Cyl,60.00,60.00,y-y,60.00,2013.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],9,216.00,216.00,4.38,648.00,262.00,,206.00,80.30,,Cyl,100.00,100.00,y-y,100.00,1447.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],10,323.00,323.00,4.38,969.00,262.00,,206.00,41.10,,Cyl,60.00,60.00,y-y,60.00,3306.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],11,323.00,323.00,4.38,969.00,262.00,,206.00,41.10,,Cyl,200.00,200.00,y-y,200.00,1479.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],12,145.00,145.00,6.36,435.00,618.00,,206.00,41.10,,Cyl,45.00,45.00,y-y,45.00,1636.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],13,145.00,145.00,6.36,435.00,618.00,,206.00,41.10,,Cyl,200.00,200.00,y-y,200.00,611.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],14,211.00,211.00,6.36,633.00,618.00,,206.00,25.40,,Cyl,60.00,60.00,y-y,60.00,2393.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],15,211.00,211.00,6.36,633.00,618.00,,206.00,41.10,,Cyl,60.00,60.00,y-y,60.00,2685.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],16,211.00,211.00,6.36,633.00,618.00,,206.00,41.10,,Cyl,100.00,100.00,y-y,,2090.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],17,212.00,212.00,6.36,636.00,618.00,,206.00,41.10,,Cyl,300.00,300.00,y-y,,858.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],18,211.00,211.00,6.36,633.00,618.00,,206.00,80.30,,Cyl,60.00,60.00,y-y,,3396.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],19,211.00,211.00,6.36,633.00,618.00,,206.00,80.30,,Cyl,200.00,200.00,y-y,,1484.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],20,318.00,318.00,6.36,954.00,618.00,,206.00,41.10,,Cyl,100.00,100.00,y-y,,4100.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],21,319.00,319.00,6.36,957.00,618.00,,206.00,41.10,,Cyl,300.00,300.00,y-y,,1967.00,
Bradford (SRC_WMe),Uy,1997,[120],NS2 [C],186.00,186.00,3.00,540.00,300.00,,200.00,32.00,,Cyl,37.00,37.00,y-y,,1069.00,* = empty tube squash load   ** = filled tube in bending
Bradford (SRC_WMe),Uy,1997,[120],NS3 [C],186.00,186.00,3.00,540.00,300.00,,200.00,32.00,,Cyl,56.00,56.00,y-y,,1133.00,* = empty tube squash load   ** = filled tube in bending
Bradford (SRC_WMe),Uy,1997,[120],NS4 [C],186.00,186.00,3.00,540.00,300.00,,200.00,32.00,,Cyl,84.00,84.00,y-y,,895.00,* = empty tube squash load   ** = filled tube in bending
Bradford (SRC_WMe),Uy,1997,[120],HS2 [C],126.00,126.00,3.00,360.00,300.00,,200.00,50.00,,Cyl,20.00,20.00,y-y,,996.00,* = empty tube squash load   ** = filled tube in bending
Bradford (SRC_WMe),Uy,1997,[120],HS3 [C],126.00,126.00,3.00,360.00,300.00,,200.00,50.00,,Cyl,40.00,40.00,y-y,,739.00,* = empty tube squash load   ** = filled tube in bending
Bradford (SRC_WMe),Uy,1997,[120],HS4 [C],126.00,126.00,3.00,360.00,300.00,,200.00,50.00,,Cyl,50.00,50.00,y-y,,619.00,* = empty tube squash load   ** = filled tube in bending
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],8,216.00,216.00,4.38,648.00,262.00,,206.00,68.26,,Cyl,60.00,60.00,y-y,,2013.00,fcyl > 60 using .85fcyl
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],9,216.00,216.00,4.38,648.00,262.00,,206.00,68.26,,Cyl,100.00,100.00,y-y,,1447.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],18,211.00,211.00,6.36,633.00,618.00,,206.00,68.26,,Cyl,60.00,60.00,y-y,,3396.00,
Bradford (SRC_WMe),Nakahara & Sakino,2000,[55],19,211.00,211.00,6.36,633.00,618.00,,206.00,68.26,,Cyl,200.00,200.00,y-y,,1484.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],1,100.00,150.00,5.00,2940.00,330.80,,205.00,45.10,,Cyl,6.00,6.00,y-y,6.30,882.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],X1,100.00,150.00,5.00,2940.00,331.50,,206.00,47.20,,Cyl,15.00,15.00,y-y,14.60,670.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],X2,100.00,150.00,5.00,2940.00,331.50,,206.00,48.10,,Cyl,45.00,45.00,y-y,33.10,470.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],X3,100.00,150.00,5.00,2940.00,321.60,,203.00,47.40,,Cyl,75.00,75.00,y-y,37.10,339.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],2,100.00,150.00,5.00,4000.00,360.80,,205.00,47.00,,Cyl,6.00,6.00,y-y,6.50,667.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],3,100.00,150.00,5.00,4000.00,355.50,,205.00,47.70,,Cyl,15.00,15.00,y-y,17.40,650.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],4,100.00,150.00,5.00,4000.00,350.50,,205.00,48.30,,Cyl,45.00,45.00,y-y,38.00,443.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],5,100.00,150.00,5.00,4000.00,342.50,,205.00,48.20,,Cyl,75.00,75.00,y-y,50.10,344.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],6,100.00,150.00,5.00,4910.00,360.80,,205.00,45.70,,Cyl,6.00,6.00,y-y,12.50,536.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],7,100.00,150.00,5.00,4910.00,342.50,,205.00,46.30,,Cyl,15.00,15.00,y-y,33.40,558.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],8,100.00,150.00,5.00,4910.00,368.00,,205.00,47.30,,Cyl,45.00,45.00,y-y,42.50,356.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],9,100.00,150.00,5.00,4910.00,350.50,,205.00,47.50,,Cyl,75.00,75.00,y-y,67.50,293.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],X4,100.00,150.00,5.00,2940.00,324.30,,202.00,51.50,,Cyl,30.00,30.00,z-z,25.80,402.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],10,100.00,150.00,5.00,4000.00,368.00,,205.00,45.70,,Cyl,30.00,30.00,z-z,44.60,349.00,
Bradford (LRC_WMe),Shakir-Khalil and Al-Rawdan,1996,[56],11,100.00,150.00,5.00,4910.00,355.50,,205.00,47.20,,Cyl,30.00,30.00,z-z,69.70,273.00,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp1-1,120.00,120.00,3.84,2600.00,330.10,,200.00,18.93,,Cyl,15.00,15.00,z-z,,588.00,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp1-2,120.00,120.00,3.84,2600.00,330.10,,200.00,18.93,,Cyl,30.00,30.00,z-z,,450.80,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp1-3,120.00,120.00,3.84,2600.00,330.10,,200.00,25.46,,Cyl,40.00,40.00,z-z,,421.40,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp1-4,120.00,120.00,3.84,2600.00,330.10,,200.00,18.93,,Cyl,50.00,50.00,z-z,,333.20,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp1-5,120.00,120.00,3.84,2600.00,330.10,,200.00,25.46,,Cyl,40.00,40.00,z-z,,417.50,
