b (mm),h (mm),t (mm),L (mm),fy (MPa),Ea (Gpa),fc (MPa),N Test (kN),short or not,bedistel
199.00,199.00,1.80,796.00,192.40,200.00,27.70,1403.00,yse,no
197.00,197.00,1.55,797.00,192.40,200.00,27.70,1413.00,yse,no
199.00,199.00,1.50,798.00,192.40,200.00,27.70,1362.00,yse,no
199.00,199.00,1.63,798.00,192.40,200.00,25.40,1163.00,yse,no
198.00,198.00,1.66,794.00,192.40,200.00,25.60,1310.00,yse,no
199.00,199.00,1.68,796.00,192.40,200.00,25.60,1110.00,yse,no
199.00,199.00,1.91,792.00,246.70,200.00,27.60,1360.00,yse,no
199.00,199.00,1.86,797.00,246.70,200.00,27.60,1417.00,yse,no
199.00,199.00,1.62,798.00,246.70,200.00,27.60,1360.00,yse,no
198.00,198.00,1.72,797.00,246.70,200.00,25.70,1210.00,yse,no
199.00,199.00,1.69,797.00,246.70,200.00,25.70,1160.00,yse,no
199.00,199.00,1.66,796.00,246.70,200.00,25.80,1065.00,yse,no
150.00,150.00,1.52,595.00,246.70,200.00,37.10,905.00,yse,no
149.00,149.00,1.47,596.00,246.70,200.00,37.40,1000.00,yse,no
150.00,150.00,1.60,598.00,246.70,200.00,37.40,950.00,yse,no
148.00,148.00,1.57,598.00,246.70,200.00,25.80,660.00,yse,no
149.00,149.00,1.64,595.00,246.70,200.00,25.90,710.00,yse,no
200.00,200.00,2.93,793.00,256.40,200.00,27.60,1764.00,yse,no
201.00,201.00,2.92,796.00,256.40,200.00,27.60,1760.00,yse,no
198.00,198.00,2.92,797.00,256.40,200.00,27.60,1760.00,yse,no
199.00,199.00,2.91,793.00,256.40,200.00,25.80,1546.00,yse,no
200.00,200.00,2.93,792.00,256.40,200.00,25.90,1560.00,yse,no
200.00,200.00,3.93,794.00,256.40,200.00,25.90,1509.00,yse,no
199.00,199.00,3.99,796.00,279.00,200.00,36.20,2100.00,yse,no
200.00,200.00,3.96,796.00,279.00,200.00,36.40,2100.00,yse,no
200.00,200.00,4.93,796.00,294.00,200.00,36.00,2439.00,yse,no
200.00,200.00,4.92,796.00,294.00,200.00,36.00,2465.00,yse,no
149.00,149.00,3.91,598.00,279.00,200.00,37.00,1300.00,yse,no
149.00,149.00,3.96,598.00,279.00,200.00,37.00,1340.00,yse,no
149.00,149.00,3.94,597.00,279.00,200.00,37.00,1350.00,yse,no
198.00,198.00,5.66,796.00,234.70,200.00,35.90,2330.00,yse,no
198.00,198.00,5.96,797.00,234.70,200.00,36.00,2800.00,yse,no
198.00,198.00,5.69,796.00,234.70,200.00,36.50,2190.00,yse,no
150.00,150.00,4.93,595.00,294.90,200.00,36.90,1645.00,yse,no
150.00,150.00,4.95,594.00,294.90,200.00,36.90,1630.00,yse,no
150.00,150.00,4.96,595.00,294.90,200.00,36.90,1650.00,yse,no
199.00,199.00,7.83,797.00,238.30,200.00,35.70,2700.00,yse,no
200.00,200.00,7.80,796.00,238.30,200.00,35.70,2590.00,yse,no
99.00,99.00,4.90,398.00,294.90,200.00,37.10,960.00,yse,no
99.00,99.00,4.92,397.00,294.90,200.00,37.40,980.00,yse,no
99.00,99.00,4.86,399.00,294.90,200.00,37.90,900.00,yse,no
149.00,149.00,7.67,596.00,238.30,200.00,36.60,1845.00,yse,no
149.00,149.00,7.67,596.00,238.30,200.00,36.60,1850.00,yse,no
149.00,149.00,7.58,598.00,238.30,200.00,36.60,1750.00,yse,no
98.00,98.00,5.74,399.00,234.70,200.00,37.90,950.00,yse,no
99.00,99.00,5.84,398.00,234.70,200.00,37.90,950.00,yse,no
99.00,99.00,5.85,395.00,234.70,200.00,38.00,850.00,yse,no
99.00,99.00,7.72,396.00,238.30,200.00,38.00,1100.00,yse,no
100.00,100.00,7.78,398.00,238.30,200.00,38.00,1050.00,yse,no
99.00,99.00,7.82,397.00,238.30,200.00,38.00,1000.00,yse,no
200.00,200.00,5.00,600.00,227.00,200.00,24.00,2061.00,yse,no
200.00,200.00,5.00,600.00,227.00,200.00,28.80,2530.00,yse,no
200.00,200.00,5.00,600.00,227.00,200.00,36.80,2468.00,yse,no
300.00,300.00,5.00,900.00,227.00,200.00,24.00,3621.00,yse,no
300.00,300.00,5.00,900.00,227.00,200.00,28.80,4603.00,yse,no
300.00,300.00,5.00,900.00,227.00,200.00,36.80,4872.00,yse,no
110.00,110.00,1.54,330.00,279.90,200.00,32.90,510.00,yse,no
109.80,109.80,1.53,330.00,279.90,200.00,32.90,522.00,yse,no
149.30,149.30,3.63,450.00,279.90,200.00,41.80,1771.00,yse,no
149.30,149.30,3.63,450.00,279.90,200.00,41.80,1785.00,yse,no
120.00,120.00,5.80,360.00,300.00,200.00,74.70,1697.00,yse,no
120.00,120.00,5.80,360.00,300.00,200.00,92.00,1919.00,yse,no
200.00,200.00,5.80,600.00,300.00,200.00,74.70,3996.00,yse,no
200.00,200.00,5.80,600.00,300.00,200.00,74.70,3862.00,yse,no
100.00,130.00,5.80,390.00,300.00,200.00,74.70,1601.00,yse,no
100.00,130.00,5.80,390.00,300.00,200.00,74.70,1566.00,yse,no
100.00,130.00,5.80,390.00,300.00,200.00,92.00,1854.00,yse,no
100.00,130.00,5.80,390.00,300.00,200.00,92.00,1779.00,yse,no
170.00,220.00,5.80,660.00,300.00,200.00,74.70,3684.00,yse,no
170.00,220.00,5.80,660.00,300.00,200.00,74.70,3717.00,yse,no
120.00,120.00,4.00,360.00,495.00,200.00,56.00,1739.00,yse,no
120.00,120.00,4.00,360.00,495.00,200.00,56.00,1718.00,yse,no
130.00,130.00,4.00,390.00,495.00,200.00,56.00,1963.00,yse,no
130.00,130.00,4.00,390.00,495.00,200.00,56.00,1988.00,yse,no
98.20,100.30,4.18,300.00,550.00,200.00,56.60,1490.00,yse,no
120.00,120.00,4.00,360.00,495.00,200.00,58.40,1701.00,yse,no
120.00,120.00,4.00,360.00,495.00,200.00,58.40,1657.00,yse,no
