b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
200.1,200.1,4.35,601.0,323.0,57.9,3201.0,304
100.0,100.0,1.9,300.0,404.0,121.6,1209.0,689
120.0,80.0,5.0,200.0,341.0,38.8,900.0,550
125.0,125.0,3.2,500.0,443.0,94.0,1598.0,385
211.0,211.0,6.36,633.0,618.0,40.5,4484.0,250
98.87,98.87,4.93,1512.0,762.0,113.0,2087.0,760
150.2,150.2,2.02,1550.0,217.48,34.6,850.0,441
150.0,100.0,4.0,300.0,270.84,40.41,912.0,895
210.0,210.0,5.0,330.0,750.0,32.0,3710.0,984
150.0,100.0,4.5,1855.0,379.8,63.0,1756.1,851
306.0,306.0,3.0,300.0,300.0,38.0,2519.0,910
120.0,120.0,4.0,360.0,495.0,56.0,1739.0,72
200.3,200.3,4.35,601.0,323.0,29.6,1613.0,293
167.4,136.1,5.13,480.0,347.3,49.4,2510.0,122
100.0,100.0,1.9,900.0,404.0,121.6,1013.0,693
150.0,150.0,12.0,450.0,756.0,147.0,8687.0,876
150.0,100.0,4.0,450.0,495.0,58.4,1735.0,491
150.0,90.0,3.0,2254.0,320.0,10.0,515.0,407
100.1,100.1,4.2,301.0,333.0,27.76,700.0,312
200.0,200.0,3.0,600.0,303.5,58.5,2284.0,631
120.0,120.0,8.0,500.0,379.0,92.0,2430.0,373
251.1,251.1,3.73,750.0,324.3,40.4,2677.0,703
110.0,110.0,1.54,330.0,279.9,32.9,510.0,58
200.0,100.0,5.0,2000.0,360.0,33.4,1242.0,602
250.0,250.0,2.5,750.0,270.0,58.3,3495.0,927
200.0,200.0,2.5,2340.0,270.0,58.3,2305.0,688
150.0,150.0,4.5,600.0,438.36,31.87,1597.5,563
75.0,65.0,3.0,1770.0,400.0,52.0,269.0,825
199.0,199.0,1.8,796.0,192.4,27.7,1403.0,0
98.0,98.0,5.74,399.0,234.7,37.9,950.0,44
198.71,198.71,4.92,660.0,762.0,113.0,5604.0,808
180.0,100.0,5.8,540.0,300.0,74.7,2019.0,465
100.1,100.1,2.18,300.0,300.0,61.0,911.0,306
199.84,199.84,4.93,3512.0,762.0,113.0,5002.0,793
150.0,100.0,4.5,1855.0,379.8,84.0,2006.7,867
130.0,100.0,5.8,390.0,300.0,74.7,1566.0,67
120.0,120.0,3.84,360.0,330.1,26.4,1080.0,169
74.36,74.36,4.9,2512.0,762.0,113.0,583.0,766
251.0,251.0,3.75,750.0,324.3,40.4,2832.0,702
150.0,90.0,3.0,2250.0,320.0,33.4,738.0,616
65.0,65.0,3.0,250.0,350.0,79.0,502.0,818
63.0,63.0,3.0,2700.0,442.69,28.8,123.6,745
147.8,147.8,2.02,1050.0,217.48,25.9,650.0,435
103.5,103.5,5.01,300.0,347.3,58.6,1500.0,103
120.0,120.0,2.65,360.0,340.0,36.0,816.0,598
120.0,120.0,2.65,360.0,340.0,20.1,664.0,597
199.0,199.0,1.68,796.0,192.4,25.6,1110.0,5
319.0,319.0,6.36,957.0,618.0,41.1,7780.0,253
200.0,200.0,6.0,695.0,485.0,112.1,6060.0,903
150.0,150.0,4.31,3050.0,245.54,36.5,1300.0,454
99.9,99.9,4.9,301.0,289.0,24.64,800.0,310
149.96,149.96,4.91,2512.0,762.0,113.0,3739.0,776
120.0,120.0,3.84,2600.0,330.1,17.9,754.2,337
250.0,250.0,2.5,750.0,342.0,67.0,4080.0,923
99.7,44.1,2.9,300.0,228.0,74.4,271.0,162
140.0,140.0,5.86,420.0,321.1,9.78,1292.6,181
306.0,306.0,3.0,900.0,300.0,38.0,4253.0,916
250.4,249.0,2.5,750.0,234.3,50.1,3409.0,929
132.3,102.7,4.98,390.0,347.3,58.6,1725.0,126
150.0,150.0,12.5,450.0,446.0,147.0,6039.0,881
200.0,150.0,1.4,480.0,245.17,33.73,1172.88,547
148.0,148.0,4.38,444.0,262.0,77.0,2108.0,235
300.6,300.6,6.1,902.0,395.0,58.9,5481.0,297
100.0,80.0,2.93,600.0,293.5,34.3,680.0,593
149.5,149.5,4.31,1050.0,245.54,40.7,1405.0,436
135.0,90.0,2.65,540.0,340.1,22.0,580.0,585
360.0,240.0,2.65,1440.0,340.1,22.0,1600.0,576
240.0,120.0,2.65,720.0,340.1,22.0,1032.0,590
100.0,100.0,2.0,2502.0,240.0,33.5,396.0,413
200.0,200.0,3.0,2310.0,303.5,58.5,2258.0,638
148.88,148.88,4.93,3512.0,762.0,113.0,2303.0,791
120.0,120.0,2.65,1400.0,340.0,36.0,769.0,600
323.0,323.0,4.38,969.0,262.0,41.1,4830.0,649
149.1,149.1,4.31,1050.0,245.54,40.7,1435.0,437
101.6,101.6,3.0,1000.0,483.9,25.0,718.88,730
400.0,400.0,6.0,1400.0,414.0,10.0,4452.0,952
148.2,148.2,2.02,2550.0,217.48,25.9,600.0,449
201.0,201.0,10.3,600.0,381.68,26.58,3980.0,844
211.0,211.0,8.83,633.0,536.0,39.1,5900.0,272
101.2,101.1,4.18,300.0,550.0,65.7,1740.0,78
135.0,90.0,2.65,540.0,340.1,22.0,592.0,586
99.9,44.0,1.57,300.0,145.0,108.6,342.0,160
150.0,150.0,2.0,450.0,404.0,50.9,1300.0,969
200.3,200.3,4.35,601.0,323.0,63.7,3417.0,307
200.0,200.0,6.0,695.0,485.0,112.1,6218.0,905
200.0,200.0,3.0,2310.0,303.5,58.5,2280.0,636
120.0,80.0,5.0,2740.0,357.5,35.7,407.0,355
